交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2020/01/02,MTX,202001  ,12045,12120,12023,12100,106,0.88%,88319,12101,29343,12100,12104,12125,11065,,一般,,
2020/01/03,MTX,202001  ,12182,12198,11996,12086,-15,-0.12%,151216,12087,25855,12086,12087,12198,11065,,一般,,
2020/01/06,MTX,202001  ,12022,12034,11948,11950,-137,-1.13%,105858,11949,28566,11949,11951,12198,11065,,一般,,
2020/01/07,MTX,202001  ,11993,12009,11816,11873,-76,-0.64%,143684,11871,28959,11871,11873,12198,11065,,一般,,
2020/01/08,MTX,202001  ,11726,11892,11697,11789,-82,-0.69%,142267,11788,25444,11787,11789,12198,11065,,一般,,
2020/01/09,MTX,202001  ,11918,11999,11883,11970,182,1.54%,103227,11969,27499,11968,11970,12198,11065,,一般,,
2020/01/10,MTX,202001  ,12002,12042,11953,12011,42,0.35%,96111,12011,25098,12010,12011,12198,11065,,一般,,
2020/01/13,MTX,202001  ,12086,12121,12044,12116,105,0.87%,98108,12116,26088,12116,12117,12198,11065,,一般,,
2020/01/14,MTX,202001  ,12180,12200,12148,12182,66,0.54%,72957,12181,21639,12180,12183,12200,11065,,一般,,
2020/01/15,MTX,202001  ,12158,12175,12058,12062,-119,-0.98%,73538,0,10363,12062,12063,12200,11065,,一般,,
2020/01/16,MTX,202002  ,12044,12078,11991,12057,3,0.02%,95484,12052,24570,12055,12057,12184,11380,,一般,,
2020/01/17,MTX,202002  ,12102,12118,12030,12071,19,0.16%,97562,12071,25092,12071,12073,12184,11380,,一般,,
2020/01/20,MTX,202002  ,12118,12160,12097,12111,40,0.33%,73329,12111,22160,12110,12112,12184,11380,,一般,,
2020/01/30,MTX,202002  ,11773,11798,11367,11368,-743,-6.13%,224148,11372,32838,11368,11370,12184,11367,,一般,,
2020/01/31,MTX,202002  ,11462,11568,11408,11468,96,0.84%,141644,11469,30312,11466,11469,12184,11272,,一般,,
2020/02/03,MTX,202002  ,11286,11370,11153,11326,-143,-1.25%,205362,11324,28899,11323,11326,12184,11153,,一般,,
2020/02/04,MTX,202002  ,11371,11557,11362,11538,214,1.89%,142884,11534,29800,11534,11538,12184,11153,,一般,,
2020/02/05,MTX,202002  ,11602,11619,11474,11542,8,0.07%,160735,11542,30728,11540,11542,12184,11153,,一般,,
2020/02/06,MTX,202002  ,11650,11744,11628,11740,198,1.72%,129022,11739,30094,11740,11741,12184,11153,,一般,,
2020/02/07,MTX,202002  ,11664,11667,11566,11592,-147,-1.25%,126256,11589,27121,11592,11593,12184,11153,,一般,,
2020/02/10,MTX,202002  ,11456,11598,11402,11565,-24,-0.21%,151200,11565,28952,11564,11565,12184,11153,,一般,,
2020/02/11,MTX,202002  ,11626,11688,11612,11665,100,0.86%,92209,11664,26507,11664,11666,12184,11153,,一般,,
